year,Darnell (F),Darnell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000004
1914,0.000000,0.000000
1915,0.000000,0.000007
1916,0.000000,0.000003
1917,0.000002,0.000004
1918,0.000002,0.000005
1919,0.000002,0.000005
1920,0.000004,0.000006
1921,0.000002,0.000006
1922,0.000003,0.000011
1923,0.000000,0.000007
1924,0.000004,0.000013
1925,0.000005,0.000008
1926,0.000003,0.000010
1927,0.000003,0.000008
1928,0.000004,0.000009
1929,0.000004,0.000009
1930,0.000000,0.000010
1931,0.000000,0.000013
1932,0.000004,0.000008
1933,0.000005,0.000015
1934,0.000005,0.000014
1935,0.000005,0.000016
1936,0.000004,0.000012
1937,0.000003,0.000016
1938,0.000005,0.000016
1939,0.000007,0.000019
1940,0.000009,0.000015
1941,0.000018,0.000019
1942,0.000010,0.000013
1943,0.000009,0.000015
1944,0.000013,0.000019
1945,0.000017,0.000021
1946,0.000011,0.000023
1947,0.000017,0.000018
1948,0.000020,0.000032
1949,0.000016,0.000034
1950,0.000020,0.000050
1951,0.000019,0.000058
1952,0.000018,0.000072
1953,0.000013,0.000071
1954,0.000014,0.000073
1955,0.000012,0.000084
1956,0.000013,0.000075
1957,0.000013,0.000083
1958,0.000016,0.000094
1959,0.000012,0.000086
1960,0.000013,0.000079
1961,0.000016,0.000085
1962,0.000013,0.000088
1963,0.000016,0.000091
1964,0.000015,0.000099
1965,0.000018,0.000093
1966,0.000018,0.000102
1967,0.000016,0.000115
1968,0.000015,0.000114
1969,0.000019,0.000127
1970,0.000016,0.000134
1971,0.000015,0.000138
1972,0.000011,0.000149
1973,0.000011,0.000155
1974,0.000010,0.000141
1975,0.000011,0.000151
1976,0.000009,0.000156
1977,0.000010,0.000163
1978,0.000008,0.000178
1979,0.000007,0.000149
1980,0.000006,0.000150
1981,0.000007,0.000142
1982,0.000007,0.000153
1983,0.000007,0.000186
1984,0.000008,0.000212
1985,0.000005,0.000189
1986,0.000005,0.000195
1987,0.000006,0.000191
1988,0.000004,0.000176
1989,0.000003,0.000171
1990,0.000003,0.000172
1991,0.000002,0.000145
1992,0.000003,0.000139
1993,0.000001,0.000118
1994,0.000003,0.000126
1995,0.000000,0.000108
1996,0.000000,0.000113
1997,0.000002,0.000098
1998,0.000000,0.000096
1999,0.000001,0.000085
2000,0.000000,0.000073
2001,0.000000,0.000071
2002,0.000000,0.000070
2003,0.000000,0.000077
2004,0.000000,0.000071
2005,0.000000,0.000075
2006,0.000000,0.000077
2007,0.000000,0.000081
2008,0.000000,0.000080
2009,0.000000,0.000074
2010,0.000000,0.000064
2011,0.000001,0.000065
2012,0.000000,0.000056
2013,0.000000,0.000052
2014,0.000000,0.000053
2015,0.000000,0.000041
2016,0.000000,0.000041
2017,0.000001,0.000042
2018,0.000000,0.000037
2019,0.000000,0.000037
2020,0.000000,0.000030
