year,Dawna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,10
1922,6
1923,10
1924,11
1925,11
1926,12
1927,13
1928,5
1929,15
1930,13
1931,17
1932,15
1933,19
1934,22
1935,20
1936,20
1937,10
1938,25
1939,19
1940,27
1941,28
1942,39
1943,28
1944,32
1945,40
1946,43
1947,53
1948,45
1949,40
1950,53
1951,66
1952,51
1953,63
1954,79
1955,91
1956,234
1957,155
1958,152
1959,168
1960,175
1961,177
1962,180
1963,210
1964,257
1965,233
1966,264
1967,227
1968,233
1969,200
1970,195
1971,169
1972,159
1973,107
1974,117
1975,118
1976,92
1977,67
1978,62
1979,73
1980,95
1981,91
1982,76
1983,49
1984,57
1985,37
1986,45
1987,40
1988,42
1989,42
1990,39
1991,30
1992,30
1993,34
1994,25
1995,19
1996,22
1997,24
1998,6
1999,19
2000,10
2001,6
2002,10
2003,8
2004,6
2005,7
2006,12
2007,0
2008,10
2009,6
2010,7
2011,0
2012,6
