year,Denny (F),Denny (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000015
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000010
1909,0.000000,0.000014
1910,0.000000,0.000008
1911,0.000000,0.000014
1912,0.000000,0.000013
1913,0.000000,0.000012
1914,0.000000,0.000011
1915,0.000000,0.000011
1916,0.000000,0.000008
1917,0.000000,0.000013
1918,0.000000,0.000009
1919,0.000000,0.000009
1920,0.000000,0.000014
1921,0.000000,0.000017
1922,0.000000,0.000017
1923,0.000000,0.000011
1924,0.000000,0.000014
1925,0.000000,0.000017
1926,0.000003,0.000020
1927,0.000000,0.000027
1928,0.000000,0.000031
1929,0.000003,0.000032
1930,0.000000,0.000034
1931,0.000000,0.000029
1932,0.000000,0.000041
1933,0.000000,0.000053
1934,0.000004,0.000064
1935,0.000004,0.000061
1936,0.000003,0.000067
1937,0.000000,0.000066
1938,0.000003,0.000073
1939,0.000003,0.000101
1940,0.000000,0.000081
1941,0.000002,0.000092
1942,0.000003,0.000111
1943,0.000004,0.000106
1944,0.000003,0.000110
1945,0.000002,0.000103
1946,0.000002,0.000122
1947,0.000002,0.000122
1948,0.000002,0.000095
1949,0.000002,0.000078
1950,0.000002,0.000084
1951,0.000002,0.000073
1952,0.000002,0.000066
1953,0.000003,0.000064
1954,0.000001,0.000056
1955,0.000002,0.000059
1956,0.000003,0.000062
1957,0.000003,0.000070
1958,0.000003,0.000074
1959,0.000004,0.000076
1960,0.000003,0.000074
1961,0.000001,0.000063
1962,0.000002,0.000064
1963,0.000001,0.000069
1964,0.000002,0.000058
1965,0.000002,0.000065
1966,0.000000,0.000062
1967,0.000001,0.000057
1968,0.000000,0.000060
1969,0.000002,0.000077
1970,0.000000,0.000068
1971,0.000002,0.000063
1972,0.000003,0.000071
1973,0.000004,0.000065
1974,0.000004,0.000071
1975,0.000002,0.000066
1976,0.000006,0.000054
1977,0.000003,0.000059
1978,0.000002,0.000047
1979,0.000000,0.000042
1980,0.000000,0.000040
1981,0.000001,0.000039
1982,0.000002,0.000044
1983,0.000000,0.000035
1984,0.000000,0.000029
1985,0.000002,0.000033
1986,0.000002,0.000031
1987,0.000002,0.000032
1988,0.000000,0.000030
1989,0.000000,0.000031
1990,0.000001,0.000022
1991,0.000000,0.000029
1992,0.000000,0.000026
1993,0.000000,0.000022
1994,0.000000,0.000024
1995,0.000000,0.000024
1996,0.000001,0.000027
1997,0.000001,0.000027
1998,0.000000,0.000017
1999,0.000000,0.000021
2000,0.000000,0.000017
2001,0.000000,0.000018
2002,0.000000,0.000022
2003,0.000000,0.000019
2004,0.000000,0.000019
2005,0.000000,0.000018
2006,0.000000,0.000020
2007,0.000000,0.000021
2008,0.000000,0.000017
2009,0.000000,0.000013
2010,0.000000,0.000017
2011,0.000000,0.000019
2012,0.000000,0.000011
2013,0.000000,0.000012
2014,0.000000,0.000012
2015,0.000000,0.000013
2016,0.000000,0.000008
2017,0.000000,0.000009
2018,0.000000,0.000010
2019,0.000000,0.000009
2020,0.000002,0.000005
