year,Dahlia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,8
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,6
1907,5
1908,0
1909,0
1910,5
1911,7
1912,10
1913,14
1914,17
1915,15
1916,17
1917,19
1918,16
1919,21
1920,22
1921,26
1922,26
1923,23
1924,23
1925,25
1926,23
1927,21
1928,23
1929,16
1930,18
1931,15
1932,16
1933,9
1934,9
1935,8
1936,11
1937,5
1938,20
1939,13
1940,7
1941,17
1942,14
1943,10
1944,6
1945,10
1946,19
1947,19
1948,28
1949,21
1950,32
1951,21
1952,26
1953,32
1954,42
1955,18
1956,23
1957,20
1958,26
1959,26
1960,37
1961,24
1962,35
1963,28
1964,28
1965,24
1966,36
1967,28
1968,29
1969,38
1970,45
1971,41
1972,33
1973,42
1974,36
1975,40
1976,49
1977,59
1978,39
1979,55
1980,49
1981,39
1982,33
1983,36
1984,36
1985,43
1986,34
1987,29
1988,40
1989,48
1990,41
1991,46
1992,54
1993,44
1994,83
1995,70
1996,105
1997,124
1998,144
1999,128
2000,137
2001,131
2002,160
2003,177
2004,170
2005,191
2006,263
2007,356
2008,397
2009,444
2010,451
2011,537
2012,579
