year,Dewey (F),Dewey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000023
1889,0.000000,0.000045
1890,0.000000,0.000053
1891,0.000000,0.000031
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000050
1895,0.000000,0.000080
1896,0.000000,0.000176
1897,0.000037,0.000455
1898,0.000273,0.002923
1899,0.000071,0.001471
1900,0.000020,0.000766
1901,0.000020,0.000396
1902,0.000013,0.000352
1903,0.000018,0.000367
1904,0.000000,0.000240
1905,0.000000,0.000234
1906,0.000014,0.000194
1907,0.000011,0.000200
1908,0.000000,0.000203
1909,0.000000,0.000178
1910,0.000000,0.000147
1911,0.000000,0.000166
1912,0.000006,0.000168
1913,0.000006,0.000151
1914,0.000005,0.000145
1915,0.000000,0.000156
1916,0.000003,0.000185
1917,0.000004,0.000208
1918,0.000009,0.000256
1919,0.000007,0.000288
1920,0.000005,0.000274
1921,0.000007,0.000326
1922,0.000006,0.000312
1923,0.000008,0.000331
1924,0.000005,0.000324
1925,0.000008,0.000342
1926,0.000007,0.000334
1927,0.000006,0.000310
1928,0.000006,0.000299
1929,0.000008,0.000289
1930,0.000008,0.000293
1931,0.000005,0.000284
1932,0.000006,0.000276
1933,0.000006,0.000260
1934,0.000005,0.000247
1935,0.000006,0.000241
1936,0.000003,0.000240
1937,0.000004,0.000225
1938,0.000003,0.000226
1939,0.000002,0.000217
1940,0.000004,0.000235
1941,0.000002,0.000195
1942,0.000003,0.000186
1943,0.000000,0.000201
1944,0.000002,0.000243
1945,0.000000,0.000180
1946,0.000002,0.000163
1947,0.000000,0.000154
1948,0.000000,0.000177
1949,0.000002,0.000132
1950,0.000002,0.000112
1951,0.000000,0.000114
1952,0.000000,0.000110
1953,0.000000,0.000101
1954,0.000000,0.000099
1955,0.000000,0.000100
1956,0.000001,0.000094
1957,0.000000,0.000087
1958,0.000000,0.000079
1959,0.000000,0.000080
1960,0.000000,0.000076
1961,0.000000,0.000073
1962,0.000000,0.000069
1963,0.000000,0.000074
1964,0.000000,0.000072
1965,0.000000,0.000075
1966,0.000000,0.000068
1967,0.000000,0.000061
1968,0.000000,0.000067
1969,0.000000,0.000062
1970,0.000000,0.000063
1971,0.000000,0.000064
1972,0.000000,0.000058
1973,0.000000,0.000049
1974,0.000000,0.000052
1975,0.000000,0.000055
1976,0.000000,0.000044
1977,0.000000,0.000044
1978,0.000000,0.000037
1979,0.000000,0.000042
1980,0.000000,0.000039
1981,0.000000,0.000030
1982,0.000000,0.000031
1983,0.000000,0.000029
1984,0.000000,0.000027
1985,0.000000,0.000019
1986,0.000000,0.000025
1987,0.000000,0.000021
1988,0.000000,0.000021
1989,0.000000,0.000020
1990,0.000000,0.000016
1991,0.000000,0.000016
1992,0.000000,0.000018
1993,0.000000,0.000014
1994,0.000000,0.000012
1995,0.000000,0.000010
1996,0.000000,0.000014
1997,0.000000,0.000010
1998,0.000000,0.000014
1999,0.000000,0.000008
2000,0.000000,0.000008
2001,0.000000,0.000006
2002,0.000000,0.000009
2003,0.000000,0.000008
2004,0.000000,0.000010
2005,0.000000,0.000008
2006,0.000000,0.000007
2007,0.000000,0.000011
2008,0.000000,0.000009
2009,0.000000,0.000007
2010,0.000000,0.000005
2011,0.000000,0.000006
2012,0.000000,0.000009
2013,0.000000,0.000008
