year,Delvin (F),Delvin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000006
1915,0.000000,0.000007
1916,0.000000,0.000006
1917,0.000000,0.000006
1918,0.000000,0.000007
1919,0.000000,0.000006
1920,0.000000,0.000009
1921,0.000000,0.000007
1922,0.000000,0.000010
1923,0.000000,0.000009
1924,0.000000,0.000013
1925,0.000000,0.000015
1926,0.000000,0.000008
1927,0.000000,0.000010
1928,0.000000,0.000012
1929,0.000000,0.000016
1930,0.000000,0.000017
1931,0.000000,0.000016
1932,0.000000,0.000015
1933,0.000000,0.000018
1934,0.000000,0.000013
1935,0.000000,0.000016
1936,0.000000,0.000017
1937,0.000000,0.000020
1938,0.000000,0.000015
1939,0.000000,0.000015
1940,0.000000,0.000011
1941,0.000000,0.000015
1942,0.000000,0.000013
1943,0.000000,0.000015
1944,0.000000,0.000008
1945,0.000000,0.000009
1946,0.000000,0.000010
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000009
1951,0.000000,0.000010
1952,0.000000,0.000013
1953,0.000000,0.000012
1954,0.000000,0.000010
1955,0.000000,0.000010
1956,0.000000,0.000011
1957,0.000000,0.000014
1958,0.000000,0.000010
1959,0.000000,0.000008
1960,0.000000,0.000013
1961,0.000000,0.000009
1962,0.000000,0.000012
1963,0.000000,0.000009
1964,0.000000,0.000009
1965,0.000000,0.000012
1966,0.000000,0.000010
1967,0.000000,0.000014
1968,0.000000,0.000009
1969,0.000000,0.000012
1970,0.000000,0.000013
1971,0.000000,0.000013
1972,0.000000,0.000015
1973,0.000000,0.000014
1974,0.000000,0.000014
1975,0.000000,0.000010
1976,0.000000,0.000025
1977,0.000000,0.000041
1978,0.000003,0.000059
1979,0.000002,0.000049
1980,0.000000,0.000033
1981,0.000002,0.000027
1982,0.000000,0.000018
1983,0.000000,0.000021
1984,0.000000,0.000019
1985,0.000000,0.000020
1986,0.000000,0.000019
1987,0.000000,0.000019
1988,0.000000,0.000021
1989,0.000000,0.000021
1990,0.000000,0.000013
1991,0.000000,0.000011
1992,0.000000,0.000023
1993,0.000000,0.000021
1994,0.000000,0.000023
1995,0.000000,0.000023
1996,0.000000,0.000022
1997,0.000000,0.000020
1998,0.000000,0.000019
1999,0.000000,0.000019
2000,0.000000,0.000021
2001,0.000000,0.000018
2002,0.000000,0.000019
2003,0.000000,0.000019
2004,0.000000,0.000018
2005,0.000000,0.000018
2006,0.000000,0.000014
2007,0.000000,0.000014
2008,0.000000,0.000014
2009,0.000000,0.000015
2010,0.000000,0.000012
2011,0.000000,0.000012
2012,0.000000,0.000013
