year,Dock
1880,46
1881,43
1882,59
1883,63
1884,66
1885,59
1886,69
1887,53
1888,68
1889,57
1890,58
1891,49
1892,65
1893,55
1894,60
1895,68
1896,71
1897,68
1898,53
1899,42
1900,73
1901,40
1902,50
1903,39
1904,38
1905,35
1906,51
1907,52
1908,46
1909,45
1910,70
1911,55
1912,80
1913,68
1914,96
1915,88
1916,123
1917,103
1918,117
1919,118
1920,128
1921,120
1922,111
1923,116
1924,100
1925,114
1926,98
1927,98
1928,72
1929,74
1930,86
1931,64
1932,49
1933,53
1934,58
1935,70
1936,43
1937,41
1938,50
1939,45
1940,53
1941,34
1942,37
1943,52
1944,43
1945,38
1946,57
1947,40
1948,43
1949,35
1950,34
1951,43
1952,41
1953,35
1954,36
1955,31
1956,34
1957,26
1958,36
1959,26
1960,23
1961,14
1962,13
1963,12
1964,20
1965,16
1966,18
1967,17
1968,14
1969,6
1970,11
1971,18
1972,12
1973,15
1974,19
1975,19
1976,13
1977,18
1978,6
1979,9
1980,11
1981,14
1982,7
1983,9
1984,7
1985,7
1986,9
1987,7
1988,9
1989,5
1990,8
1991,0
1992,0
1993,12
1994,10
1995,5
1996,0
1997,5
1998,7
1999,0
2000,7
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
