year,Delfino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,10
1914,11
1915,12
1916,13
1917,8
1918,22
1919,17
1920,19
1921,19
1922,20
1923,24
1924,19
1925,23
1926,24
1927,20
1928,16
1929,27
1930,21
1931,20
1932,23
1933,11
1934,21
1935,25
1936,15
1937,24
1938,15
1939,25
1940,19
1941,27
1942,21
1943,19
1944,21
1945,15
1946,24
1947,29
1948,25
1949,21
1950,29
1951,22
1952,29
1953,18
1954,20
1955,14
1956,21
1957,24
1958,14
1959,26
1960,20
1961,17
1962,22
1963,28
1964,15
1965,27
1966,27
1967,14
1968,16
1969,13
1970,18
1971,19
1972,13
1973,20
1974,10
1975,25
1976,25
1977,31
1978,20
1979,30
1980,34
1981,22
1982,23
1983,26
1984,18
1985,16
1986,20
1987,16
1988,27
1989,25
1990,31
1991,23
1992,34
1993,30
1994,33
1995,36
1996,29
1997,25
1998,23
1999,41
2000,27
2001,38
2002,25
2003,32
2004,29
2005,27
2006,25
2007,22
2008,16
2009,21
2010,21
2011,17
2012,17
