year,Danya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,7
1940,5
1941,16
1942,7
1943,9
1944,9
1945,6
1946,8
1947,6
1948,11
1949,5
1950,15
1951,0
1952,5
1953,5
1954,6
1955,10
1956,7
1957,8
1958,13
1959,9
1960,13
1961,13
1962,9
1963,12
1964,18
1965,26
1966,17
1967,26
1968,26
1969,37
1970,47
1971,38
1972,35
1973,36
1974,56
1975,50
1976,55
1977,69
1978,63
1979,40
1980,59
1981,56
1982,34
1983,44
1984,42
1985,52
1986,43
1987,31
1988,43
1989,48
1990,42
1991,41
1992,64
1993,65
1994,63
1995,68
1996,69
1997,69
1998,48
1999,70
2000,63
2001,91
2002,88
2003,89
2004,86
2005,68
2006,96
2007,126
2008,106
2009,101
2010,76
2011,75
2012,80
