year,Deette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,8
1915,9
1916,0
1917,0
1918,8
1919,7
1920,7
1921,6
1922,5
1923,7
1924,6
1925,5
1926,5
1927,6
1928,5
1929,5
1930,7
1931,5
1932,7
1933,7
1934,9
1935,5
1936,5
1937,7
1938,14
1939,8
1940,13
1941,9
1942,7
1943,13
1944,14
1945,13
1946,11
1947,19
1948,11
1949,13
1950,13
1951,16
1952,10
1953,10
1954,23
1955,21
1956,11
1957,12
1958,17
1959,14
1960,15
1961,19
1962,26
1963,19
1964,14
1965,18
1966,23
1967,22
1968,13
1969,14
1970,14
1971,9
1972,7
1973,11
1974,11
1975,9
1976,0
1977,6
1978,8
1979,0
1980,6
1981,5
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
