year,Darell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,5
1916,6
1917,7
1918,5
1919,5
1920,11
1921,8
1922,14
1923,11
1924,9
1925,9
1926,16
1927,9
1928,24
1929,24
1930,13
1931,19
1932,28
1933,25
1934,31
1935,20
1936,34
1937,29
1938,29
1939,27
1940,36
1941,42
1942,61
1943,43
1944,42
1945,38
1946,38
1947,67
1948,70
1949,51
1950,56
1951,66
1952,55
1953,63
1954,66
1955,60
1956,56
1957,77
1958,80
1959,82
1960,60
1961,72
1962,57
1963,75
1964,65
1965,61
1966,71
1967,66
1968,70
1969,74
1970,55
1971,67
1972,57
1973,46
1974,48
1975,47
1976,59
1977,51
1978,52
1979,55
1980,52
1981,55
1982,55
1983,50
1984,65
1985,88
1986,99
1987,77
1988,103
1989,69
1990,97
1991,70
1992,80
1993,70
1994,68
1995,44
1996,59
1997,45
1998,54
1999,38
2000,40
2001,32
2002,33
2003,34
2004,54
2005,47
2006,47
2007,47
2008,53
2009,44
2010,44
2011,45
2012,38
