year,Doreene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,7
1923,0
1924,7
1925,5
1926,9
1927,9
1928,6
1929,0
1930,0
1931,10
1932,8
1933,0
1934,9
1935,9
1936,6
1937,0
1938,12
1939,0
1940,7
1941,7
1942,7
1943,7
1944,0
1945,8
1946,13
1947,14
1948,9
1949,9
1950,9
1951,7
1952,12
1953,10
1954,8
1955,12
1956,13
1957,15
1958,13
1959,18
1960,12
1961,17
1962,14
1963,5
1964,10
1965,8
1966,8
1967,10
1968,0
1969,6
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
