year,Donella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,5
1915,12
1916,8
1917,8
1918,5
1919,10
1920,9
1921,20
1922,23
1923,15
1924,15
1925,21
1926,12
1927,18
1928,14
1929,14
1930,18
1931,19
1932,14
1933,13
1934,10
1935,13
1936,13
1937,17
1938,16
1939,13
1940,17
1941,18
1942,17
1943,19
1944,23
1945,19
1946,31
1947,30
1948,29
1949,41
1950,47
1951,29
1952,51
1953,30
1954,32
1955,25
1956,24
1957,28
1958,14
1959,32
1960,27
1961,26
1962,27
1963,36
1964,18
1965,19
1966,22
1967,42
1968,40
1969,48
1970,51
1971,41
1972,43
1973,42
1974,43
1975,21
1976,17
1977,27
1978,23
1979,25
1980,20
1981,21
1982,21
1983,19
1984,23
1985,11
1986,21
1987,19
1988,16
1989,12
1990,13
1991,17
1992,13
1993,0
1994,8
1995,6
1996,7
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
