year,Donalda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,5
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,11
1915,15
1916,5
1917,13
1918,14
1919,9
1920,7
1921,9
1922,11
1923,6
1924,13
1925,13
1926,12
1927,8
1928,12
1929,17
1930,16
1931,15
1932,14
1933,11
1934,16
1935,10
1936,14
1937,10
1938,7
1939,6
1940,10
1941,11
1942,9
1943,11
1944,7
1945,8
1946,12
1947,12
1948,13
1949,11
1950,14
1951,10
1952,10
1953,12
1954,9
1955,10
1956,9
1957,13
1958,17
1959,14
1960,11
1961,10
1962,6
1963,6
1964,5
1965,8
1966,6
1967,7
1968,6
1969,5
1970,5
1971,0
1972,0
1973,0
1974,5
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
