year,Darryll
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,7
1939,10
1940,8
1941,8
1942,9
1943,10
1944,9
1945,11
1946,13
1947,9
1948,11
1949,18
1950,12
1951,22
1952,21
1953,16
1954,17
1955,20
1956,12
1957,20
1958,29
1959,35
1960,63
1961,60
1962,45
1963,52
1964,59
1965,58
1966,50
1967,39
1968,39
1969,21
1970,40
1971,22
1972,28
1973,23
1974,17
1975,15
1976,17
1977,18
1978,25
1979,14
1980,13
1981,15
1982,18
1983,20
1984,13
1985,22
1986,22
1987,19
1988,10
1989,12
1990,15
1991,11
1992,16
1993,15
1994,5
1995,13
1996,7
1997,10
1998,0
1999,9
2000,6
2001,5
2002,7
2003,6
2004,6
2005,6
2006,0
2007,6
2008,9
2009,6
2010,0
2011,0
2012,0
