year,Diego (F),Diego (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000011
1912,0.000000,0.000009
1913,0.000000,0.000008
1914,0.000000,0.000006
1915,0.000000,0.000005
1916,0.000000,0.000009
1917,0.000000,0.000004
1918,0.000000,0.000006
1919,0.000000,0.000009
1920,0.000000,0.000006
1921,0.000000,0.000007
1922,0.000000,0.000006
1923,0.000000,0.000007
1924,0.000000,0.000012
1925,0.000000,0.000006
1926,0.000000,0.000011
1927,0.000000,0.000009
1928,0.000000,0.000009
1929,0.000000,0.000012
1930,0.000000,0.000007
1931,0.000000,0.000008
1932,0.000000,0.000009
1933,0.000000,0.000012
1934,0.000000,0.000010
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000009
1938,0.000000,0.000009
1939,0.000000,0.000006
1940,0.000000,0.000006
1941,0.000000,0.000009
1942,0.000000,0.000011
1943,0.000000,0.000008
1944,0.000000,0.000008
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000008
1948,0.000000,0.000006
1949,0.000000,0.000009
1950,0.000000,0.000009
1951,0.000000,0.000005
1952,0.000000,0.000005
1953,0.000000,0.000008
1954,0.000000,0.000009
1955,0.000000,0.000009
1956,0.000000,0.000006
1957,0.000000,0.000010
1958,0.000000,0.000015
1959,0.000000,0.000013
1960,0.000000,0.000011
1961,0.000000,0.000014
1962,0.000000,0.000014
1963,0.000000,0.000015
1964,0.000000,0.000017
1965,0.000000,0.000018
1966,0.000000,0.000023
1967,0.000000,0.000020
1968,0.000000,0.000017
1969,0.000000,0.000024
1970,0.000000,0.000029
1971,0.000000,0.000030
1972,0.000000,0.000033
1973,0.000000,0.000036
1974,0.000000,0.000044
1975,0.000000,0.000049
1976,0.000000,0.000038
1977,0.000000,0.000048
1978,0.000000,0.000043
1979,0.000000,0.000043
1980,0.000000,0.000056
1981,0.000000,0.000060
1982,0.000000,0.000074
1983,0.000000,0.000079
1984,0.000000,0.000091
1985,0.000000,0.000096
1986,0.000000,0.000118
1987,0.000001,0.000145
1988,0.000001,0.000161
1989,0.000000,0.000196
1990,0.000002,0.000209
1991,0.000001,0.000225
1992,0.000002,0.000231
1993,0.000003,0.000242
1994,0.000002,0.000339
1995,0.000002,0.000355
1996,0.000002,0.000378
1997,0.000000,0.000492
1998,0.000001,0.000492
1999,0.000002,0.000654
2000,0.000000,0.000710
2001,0.000003,0.000757
2002,0.000002,0.001065
2003,0.000003,0.001347
2004,0.000005,0.001539
2005,0.000003,0.001805
2006,0.000005,0.002126
2007,0.000005,0.002057
2008,0.000002,0.001674
2009,0.000002,0.001419
2010,0.000000,0.001279
2011,0.000002,0.001048
2012,0.000000,0.000915
