year,Demetrio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,5
1912,12
1913,10
1914,15
1915,9
1916,9
1917,10
1918,7
1919,9
1920,21
1921,16
1922,14
1923,14
1924,22
1925,24
1926,29
1927,18
1928,29
1929,12
1930,23
1931,11
1932,19
1933,17
1934,14
1935,19
1936,24
1937,10
1938,17
1939,15
1940,15
1941,15
1942,15
1943,17
1944,25
1945,16
1946,9
1947,24
1948,15
1949,15
1950,23
1951,14
1952,18
1953,21
1954,19
1955,21
1956,13
1957,18
1958,26
1959,28
1960,18
1961,28
1962,37
1963,24
1964,39
1965,29
1966,24
1967,21
1968,17
1969,37
1970,31
1971,30
1972,33
1973,35
1974,28
1975,33
1976,25
1977,33
1978,27
1979,32
1980,35
1981,33
1982,41
1983,30
1984,38
1985,37
1986,43
1987,29
1988,29
1989,35
1990,24
1991,36
1992,48
1993,37
1994,43
1995,37
1996,40
1997,33
1998,34
1999,88
2000,49
2001,58
2002,53
2003,43
2004,55
2005,49
2006,54
2007,50
2008,36
2009,39
2010,24
2011,35
2012,29
