year,Dori
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,8
1947,7
1948,14
1949,11
1950,10
1951,22
1952,30
1953,35
1954,63
1955,94
1956,113
1957,167
1958,155
1959,169
1960,209
1961,211
1962,198
1963,191
1964,196
1965,141
1966,133
1967,133
1968,112
1969,138
1970,172
1971,163
1972,154
1973,155
1974,114
1975,96
1976,91
1977,97
1978,97
1979,89
1980,72
1981,69
1982,59
1983,53
1984,46
1985,38
1986,39
1987,43
1988,32
1989,29
1990,22
1991,24
1992,28
1993,39
1994,21
1995,27
1996,22
1997,24
1998,25
1999,26
2000,21
2001,30
2002,22
2003,30
2004,35
2005,22
2006,24
2007,17
2008,23
2009,13
2010,15
2011,14
2012,14
