year,Dorma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,11
1917,8
1918,8
1919,10
1920,9
1921,15
1922,21
1923,22
1924,23
1925,26
1926,25
1927,26
1928,24
1929,23
1930,18
1931,25
1932,26
1933,22
1934,17
1935,21
1936,15
1937,17
1938,24
1939,17
1940,14
1941,17
1942,9
1943,11
1944,11
1945,17
1946,8
1947,10
1948,13
1949,5
1950,9
1951,13
1952,6
1953,11
1954,9
1955,10
1956,0
1957,10
1958,0
1959,8
1960,9
1961,0
1962,6
1963,8
1964,5
1965,5
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
