year,Denard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,7
1954,7
1955,0
1956,0
1957,0
1958,8
1959,10
1960,10
1961,6
1962,5
1963,5
1964,9
1965,12
1966,8
1967,8
1968,7
1969,8
1970,9
1971,8
1972,13
1973,12
1974,13
1975,6
1976,9
1977,10
1978,13
1979,15
1980,10
1981,26
1982,33
1983,20
1984,27
1985,26
1986,19
1987,18
1988,24
1989,23
1990,22
1991,19
1992,14
1993,16
1994,24
1995,9
1996,9
1997,5
1998,10
1999,11
2000,7
2001,5
2002,7
2003,6
2004,0
2005,11
2006,7
2007,8
2008,8
2009,9
2010,5
2011,7
2012,8
