year,Dewayne (F),Dewayne (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000004
1914,0.000000,0.000009
1915,0.000000,0.000014
1916,0.000000,0.000013
1917,0.000000,0.000014
1918,0.000000,0.000021
1919,0.000000,0.000017
1920,0.000000,0.000021
1921,0.000000,0.000023
1922,0.000000,0.000027
1923,0.000000,0.000030
1924,0.000000,0.000029
1925,0.000000,0.000032
1926,0.000000,0.000030
1927,0.000000,0.000029
1928,0.000000,0.000034
1929,0.000000,0.000040
1930,0.000000,0.000034
1931,0.000000,0.000062
1932,0.000000,0.000054
1933,0.000000,0.000061
1934,0.000000,0.000061
1935,0.000000,0.000090
1936,0.000000,0.000079
1937,0.000000,0.000069
1938,0.000003,0.000064
1939,0.000000,0.000063
1940,0.000000,0.000068
1941,0.000000,0.000076
1942,0.000000,0.000058
1943,0.000000,0.000058
1944,0.000000,0.000073
1945,0.000000,0.000060
1946,0.000000,0.000059
1947,0.000000,0.000063
1948,0.000000,0.000062
1949,0.000000,0.000058
1950,0.000000,0.000061
1951,0.000000,0.000065
1952,0.000000,0.000076
1953,0.000000,0.000077
1954,0.000000,0.000073
1955,0.000000,0.000080
1956,0.000000,0.000087
1957,0.000000,0.000102
1958,0.000001,0.000112
1959,0.000000,0.000120
1960,0.000000,0.000139
1961,0.000001,0.000152
1962,0.000000,0.000161
1963,0.000001,0.000164
1964,0.000000,0.000157
1965,0.000000,0.000162
1966,0.000000,0.000173
1967,0.000002,0.000150
1968,0.000000,0.000155
1969,0.000003,0.000154
1970,0.000000,0.000154
1971,0.000002,0.000158
1972,0.000000,0.000169
1973,0.000000,0.000173
1974,0.000000,0.000140
1975,0.000003,0.000158
1976,0.000000,0.000156
1977,0.000000,0.000166
1978,0.000002,0.000145
1979,0.000002,0.000130
1980,0.000001,0.000128
1981,0.000003,0.000109
1982,0.000002,0.000113
1983,0.000002,0.000092
1984,0.000001,0.000096
1985,0.000000,0.000088
1986,0.000000,0.000084
1987,0.000000,0.000084
1988,0.000001,0.000072
1989,0.000000,0.000074
1990,0.000000,0.000062
1991,0.000000,0.000068
1992,0.000000,0.000064
1993,0.000000,0.000049
1994,0.000000,0.000048
1995,0.000000,0.000054
1996,0.000000,0.000043
1997,0.000000,0.000048
1998,0.000000,0.000046
1999,0.000000,0.000046
2000,0.000000,0.000049
2001,0.000000,0.000041
2002,0.000000,0.000040
2003,0.000000,0.000039
2004,0.000000,0.000040
2005,0.000000,0.000039
2006,0.000000,0.000037
2007,0.000000,0.000041
2008,0.000000,0.000040
2009,0.000000,0.000040
2010,0.000000,0.000039
2011,0.000000,0.000035
2012,0.000000,0.000031
2013,0.000000,0.000032
2014,0.000000,0.000029
2015,0.000000,0.000028
2016,0.000000,0.000023
2017,0.000000,0.000025
2018,0.000000,0.000019
2019,0.000000,0.000020
2020,0.000000,0.000019
