year,Dedrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,5
1939,5
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,6
1950,5
1951,0
1952,10
1953,10
1954,6
1955,0
1956,14
1957,19
1958,6
1959,13
1960,12
1961,19
1962,17
1963,19
1964,21
1965,38
1966,25
1967,25
1968,18
1969,56
1970,66
1971,82
1972,103
1973,104
1974,115
1975,99
1976,114
1977,152
1978,132
1979,114
1980,119
1981,87
1982,86
1983,87
1984,87
1985,78
1986,86
1987,78
1988,91
1989,80
1990,110
1991,102
1992,97
1993,104
1994,104
1995,103
1996,94
1997,84
1998,74
1999,79
2000,79
2001,72
2002,71
2003,80
2004,74
2005,61
2006,56
2007,60
2008,58
2009,51
2010,48
2011,56
2012,48
