year,Daphney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,7
1954,0
1955,6
1956,10
1957,6
1958,9
1959,0
1960,7
1961,16
1962,37
1963,29
1964,27
1965,19
1966,13
1967,17
1968,13
1969,25
1970,20
1971,21
1972,17
1973,21
1974,15
1975,21
1976,32
1977,29
1978,29
1979,13
1980,15
1981,22
1982,25
1983,20
1984,28
1985,23
1986,17
1987,27
1988,22
1989,28
1990,31
1991,25
1992,13
1993,12
1994,21
1995,17
1996,27
1997,19
1998,26
1999,43
2000,32
2001,49
2002,27
2003,33
2004,22
2005,28
2006,21
2007,26
2008,24
2009,18
2010,21
2011,37
2012,32
