year,Deon (F),Deon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000004,0.000000
1914,0.000004,0.000000
1915,0.000007,0.000000
1916,0.000000,0.000000
1917,0.000003,0.000000
1918,0.000002,0.000000
1919,0.000002,0.000000
1920,0.000003,0.000000
1921,0.000005,0.000000
1922,0.000003,0.000002
1923,0.000000,0.000000
1924,0.000003,0.000003
1925,0.000002,0.000003
1926,0.000004,0.000003
1927,0.000003,0.000002
1928,0.000003,0.000002
1929,0.000003,0.000004
1930,0.000007,0.000003
1931,0.000005,0.000002
1932,0.000009,0.000004
1933,0.000013,0.000005
1934,0.000011,0.000006
1935,0.000008,0.000003
1936,0.000005,0.000005
1937,0.000008,0.000005
1938,0.000005,0.000009
1939,0.000005,0.000006
1940,0.000006,0.000004
1941,0.000006,0.000005
1942,0.000002,0.000002
1943,0.000003,0.000004
1944,0.000003,0.000004
1945,0.000008,0.000002
1946,0.000003,0.000006
1947,0.000002,0.000002
1948,0.000004,0.000003
1949,0.000003,0.000004
1950,0.000002,0.000002
1951,0.000008,0.000003
1952,0.000003,0.000003
1953,0.000008,0.000002
1954,0.000010,0.000003
1955,0.000007,0.000003
1956,0.000008,0.000002
1957,0.000007,0.000005
1958,0.000008,0.000007
1959,0.000006,0.000007
1960,0.000005,0.000013
1961,0.000004,0.000014
1962,0.000006,0.000021
1963,0.000006,0.000018
1964,0.000006,0.000017
1965,0.000009,0.000020
1966,0.000010,0.000041
1967,0.000011,0.000045
1968,0.000009,0.000064
1969,0.000013,0.000060
1970,0.000013,0.000077
1971,0.000015,0.000073
1972,0.000014,0.000078
1973,0.000014,0.000076
1974,0.000010,0.000072
1975,0.000015,0.000079
1976,0.000011,0.000074
1977,0.000009,0.000074
1978,0.000011,0.000079
1979,0.000007,0.000068
1980,0.000007,0.000080
1981,0.000006,0.000060
1982,0.000005,0.000059
1983,0.000005,0.000055
1984,0.000005,0.000062
1985,0.000006,0.000070
1986,0.000003,0.000057
1987,0.000004,0.000060
1988,0.000005,0.000065
1989,0.000003,0.000079
1990,0.000004,0.000085
1991,0.000003,0.000088
1992,0.000002,0.000095
1993,0.000004,0.000110
1994,0.000004,0.000123
1995,0.000003,0.000122
1996,0.000002,0.000109
1997,0.000004,0.000089
1998,0.000003,0.000081
1999,0.000004,0.000080
2000,0.000001,0.000084
2001,0.000000,0.000063
2002,0.000002,0.000070
2003,0.000003,0.000067
2004,0.000003,0.000058
2005,0.000000,0.000058
2006,0.000002,0.000060
2007,0.000000,0.000069
2008,0.000000,0.000067
2009,0.000002,0.000068
2010,0.000000,0.000064
2011,0.000000,0.000055
2012,0.000000,0.000055
2013,0.000000,0.000059
