year,Danyelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,10
1963,0
1964,16
1965,9
1966,16
1967,23
1968,38
1969,49
1970,55
1971,69
1972,51
1973,150
1974,146
1975,160
1976,161
1977,148
1978,123
1979,132
1980,128
1981,109
1982,107
1983,112
1984,148
1985,187
1986,167
1987,210
1988,180
1989,200
1990,199
1991,173
1992,218
1993,196
1994,194
1995,188
1996,129
1997,144
1998,136
1999,127
2000,145
2001,98
2002,95
2003,91
2004,88
2005,85
2006,70
2007,85
2008,77
2009,52
2010,40
2011,40
2012,23
