year,Deyanira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,7
1965,0
1966,6
1967,0
1968,6
1969,7
1970,7
1971,15
1972,18
1973,19
1974,10
1975,21
1976,28
1977,27
1978,12
1979,23
1980,23
1981,31
1982,28
1983,29
1984,22
1985,19
1986,24
1987,27
1988,29
1989,33
1990,53
1991,38
1992,55
1993,201
1994,95
1995,89
1996,58
1997,41
1998,74
1999,39
2000,42
2001,52
2002,53
2003,45
2004,61
2005,64
2006,47
2007,52
2008,45
2009,41
2010,27
2011,37
2012,22
