year,Darvin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,8
1916,11
1917,10
1918,11
1919,9
1920,20
1921,22
1922,15
1923,13
1924,17
1925,25
1926,27
1927,27
1928,30
1929,25
1930,29
1931,42
1932,35
1933,48
1934,30
1935,48
1936,45
1937,43
1938,50
1939,43
1940,49
1941,37
1942,31
1943,37
1944,41
1945,43
1946,51
1947,32
1948,32
1949,38
1950,35
1951,48
1952,39
1953,43
1954,49
1955,43
1956,48
1957,59
1958,54
1959,52
1960,52
1961,49
1962,48
1963,73
1964,52
1965,57
1966,57
1967,60
1968,44
1969,46
1970,47
1971,39
1972,42
1973,28
1974,31
1975,18
1976,25
1977,8
1978,21
1979,26
1980,24
1981,26
1982,33
1983,26
1984,29
1985,20
1986,37
1987,30
1988,26
1989,26
1990,32
1991,31
1992,37
1993,35
1994,34
1995,30
1996,35
1997,22
1998,21
1999,20
2000,21
2001,35
2002,29
2003,24
2004,27
2005,24
2006,36
2007,38
2008,39
2009,35
2010,47
2011,25
2012,42
