year,Doralee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,11
1917,0
1918,8
1919,0
1920,5
1921,9
1922,7
1923,6
1924,10
1925,20
1926,9
1927,9
1928,7
1929,11
1930,8
1931,14
1932,16
1933,11
1934,13
1935,13
1936,11
1937,13
1938,9
1939,11
1940,7
1941,11
1942,11
1943,18
1944,10
1945,0
1946,10
1947,10
1948,7
1949,7
1950,10
1951,7
1952,9
1953,6
1954,6
1955,0
1956,8
1957,9
1958,6
1959,9
1960,7
1961,11
1962,5
1963,5
1964,11
1965,0
1966,5
1967,8
1968,0
1969,0
1970,9
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,19
1984,0
1985,0
1986,10
1987,5
1988,5
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
