year,Duwayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,9
1918,6
1919,15
1920,13
1921,12
1922,22
1923,25
1924,16
1925,19
1926,40
1927,26
1928,37
1929,50
1930,50
1931,52
1932,55
1933,44
1934,66
1935,68
1936,47
1937,53
1938,63
1939,64
1940,62
1941,46
1942,53
1943,62
1944,62
1945,56
1946,60
1947,63
1948,66
1949,57
1950,55
1951,57
1952,64
1953,59
1954,62
1955,64
1956,66
1957,65
1958,77
1959,75
1960,82
1961,72
1962,63
1963,62
1964,57
1965,73
1966,64
1967,55
1968,58
1969,53
1970,48
1971,41
1972,42
1973,42
1974,38
1975,34
1976,52
1977,32
1978,33
1979,32
1980,28
1981,20
1982,21
1983,18
1984,13
1985,19
1986,23
1987,25
1988,22
1989,13
1990,18
1991,13
1992,15
1993,10
1994,11
1995,10
1996,18
1997,13
1998,10
1999,14
2000,12
2001,11
2002,13
2003,9
2004,6
2005,10
2006,9
2007,7
2008,10
2009,6
2010,7
2011,5
2012,7
