year,Danial (F),Danial (M)
1880,0.000000,0.000040
1881,0.000000,0.000052
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000029
1885,0.000000,0.000033
1886,0.000000,0.000024
1887,0.000000,0.000000
1888,0.000000,0.000033
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000021
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000012
1910,0.000000,0.000000
1911,0.000000,0.000009
1912,0.000000,0.000007
1913,0.000000,0.000005
1914,0.000000,0.000011
1915,0.000000,0.000010
1916,0.000000,0.000014
1917,0.000000,0.000014
1918,0.000000,0.000007
1919,0.000000,0.000010
1920,0.000000,0.000014
1921,0.000000,0.000014
1922,0.000000,0.000012
1923,0.000000,0.000012
1924,0.000000,0.000010
1925,0.000000,0.000011
1926,0.000000,0.000017
1927,0.000000,0.000019
1928,0.000000,0.000012
1929,0.000000,0.000016
1930,0.000000,0.000017
1931,0.000000,0.000013
1932,0.000000,0.000015
1933,0.000000,0.000021
1934,0.000000,0.000017
1935,0.000000,0.000012
1936,0.000000,0.000017
1937,0.000000,0.000016
1938,0.000000,0.000019
1939,0.000000,0.000018
1940,0.000000,0.000023
1941,0.000000,0.000014
1942,0.000000,0.000022
1943,0.000000,0.000017
1944,0.000000,0.000017
1945,0.000000,0.000021
1946,0.000000,0.000023
1947,0.000000,0.000026
1948,0.000000,0.000030
1949,0.000000,0.000038
1950,0.000000,0.000047
1951,0.000000,0.000042
1952,0.000000,0.000049
1953,0.000000,0.000042
1954,0.000000,0.000051
1955,0.000000,0.000047
1956,0.000000,0.000046
1957,0.000000,0.000050
1958,0.000000,0.000045
1959,0.000000,0.000045
1960,0.000000,0.000042
1961,0.000000,0.000047
1962,0.000000,0.000050
1963,0.000000,0.000048
1964,0.000000,0.000051
1965,0.000000,0.000058
1966,0.000000,0.000049
1967,0.000000,0.000049
1968,0.000000,0.000044
1969,0.000000,0.000041
1970,0.000000,0.000043
1971,0.000000,0.000041
1972,0.000000,0.000049
1973,0.000000,0.000057
1974,0.000002,0.000041
1975,0.000002,0.000046
1976,0.000002,0.000045
1977,0.000002,0.000040
1978,0.000002,0.000041
1979,0.000002,0.000035
1980,0.000001,0.000030
1981,0.000000,0.000035
1982,0.000000,0.000040
1983,0.000002,0.000031
1984,0.000002,0.000030
1985,0.000000,0.000033
1986,0.000001,0.000033
1987,0.000002,0.000030
1988,0.000002,0.000028
1989,0.000000,0.000024
1990,0.000001,0.000024
1991,0.000000,0.000022
1992,0.000000,0.000022
1993,0.000000,0.000021
1994,0.000000,0.000021
1995,0.000000,0.000019
1996,0.000000,0.000023
1997,0.000000,0.000017
1998,0.000000,0.000015
1999,0.000000,0.000014
2000,0.000000,0.000015
2001,0.000000,0.000011
2002,0.000000,0.000015
2003,0.000000,0.000016
2004,0.000000,0.000013
2005,0.000000,0.000014
2006,0.000000,0.000012
2007,0.000000,0.000012
2008,0.000000,0.000010
2009,0.000000,0.000012
2010,0.000000,0.000007
2011,0.000000,0.000008
2012,0.000000,0.000009
2013,0.000000,0.000008
2014,0.000000,0.000010
2015,0.000000,0.000008
2016,0.000000,0.000008
2017,0.000000,0.000008
2018,0.000000,0.000009
2019,0.000000,0.000004
2020,0.000000,0.000006
