year,Davida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,0
1915,5
1916,0
1917,7
1918,13
1919,8
1920,8
1921,8
1922,0
1923,0
1924,7
1925,0
1926,11
1927,8
1928,9
1929,5
1930,19
1931,10
1932,12
1933,14
1934,18
1935,10
1936,14
1937,15
1938,18
1939,16
1940,17
1941,22
1942,14
1943,15
1944,19
1945,25
1946,27
1947,33
1948,38
1949,35
1950,27
1951,50
1952,54
1953,64
1954,65
1955,64
1956,46
1957,44
1958,55
1959,45
1960,41
1961,45
1962,38
1963,52
1964,55
1965,44
1966,64
1967,52
1968,60
1969,69
1970,77
1971,102
1972,104
1973,80
1974,78
1975,76
1976,75
1977,66
1978,85
1979,75
1980,73
1981,95
1982,86
1983,103
1984,91
1985,79
1986,69
1987,79
1988,79
1989,57
1990,56
1991,56
1992,52
1993,58
1994,42
1995,36
1996,45
1997,55
1998,45
1999,32
2000,47
2001,38
2002,32
2003,17
2004,22
2005,18
2006,23
2007,18
2008,14
2009,25
2010,13
2011,10
2012,10
