year,Dorice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,9
1916,14
1917,12
1918,17
1919,12
1920,9
1921,11
1922,15
1923,13
1924,6
1925,13
1926,8
1927,18
1928,13
1929,12
1930,16
1931,11
1932,6
1933,6
1934,5
1935,5
1936,6
1937,10
1938,7
1939,0
1940,8
1941,6
1942,6
1943,6
1944,0
1945,5
1946,7
1947,13
1948,5
1949,7
1950,12
1951,17
1952,9
1953,14
1954,14
1955,19
1956,20
1957,19
1958,25
1959,17
1960,21
1961,15
1962,17
1963,16
1964,16
1965,13
1966,11
1967,10
1968,9
1969,13
1970,6
1971,10
1972,9
1973,8
1974,6
1975,8
1976,7
1977,0
1978,7
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
