year,Delight
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,9
1903,0
1904,6
1905,0
1906,0
1907,6
1908,6
1909,9
1910,5
1911,6
1912,11
1913,10
1914,0
1915,12
1916,19
1917,11
1918,9
1919,17
1920,17
1921,20
1922,14
1923,19
1924,16
1925,12
1926,24
1927,12
1928,20
1929,18
1930,10
1931,18
1932,20
1933,13
1934,25
1935,21
1936,16
1937,19
1938,15
1939,20
1940,12
1941,9
1942,7
1943,10
1944,17
1945,11
1946,32
1947,28
1948,15
1949,19
1950,9
1951,10
1952,10
1953,20
1954,19
1955,29
1956,17
1957,25
1958,10
1959,11
1960,7
1961,12
1962,10
1963,10
1964,9
1965,11
1966,5
1967,8
1968,0
1969,0
1970,6
1971,6
1972,0
1973,11
1974,0
1975,6
1976,10
1977,7
1978,10
1979,7
1980,0
1981,7
1982,0
1983,5
1984,9
1985,5
1986,8
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,8
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
