year,Delmar (F),Delmar (M)
1880,0.000000,0.000030
1881,0.000000,0.000026
1882,0.000000,0.000032
1883,0.000000,0.000023
1884,0.000000,0.000025
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000028
1888,0.000000,0.000033
1889,0.000000,0.000017
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000048
1896,0.000000,0.000025
1897,0.000000,0.000043
1898,0.000000,0.000031
1899,0.000000,0.000018
1900,0.000000,0.000022
1901,0.000000,0.000040
1902,0.000000,0.000041
1903,0.000000,0.000058
1904,0.000000,0.000047
1905,0.000000,0.000042
1906,0.000000,0.000051
1907,0.000000,0.000084
1908,0.000000,0.000059
1909,0.000000,0.000108
1910,0.000008,0.000052
1911,0.000000,0.000082
1912,0.000006,0.000108
1913,0.000006,0.000098
1914,0.000000,0.000112
1915,0.000005,0.000112
1916,0.000003,0.000115
1917,0.000000,0.000137
1918,0.000000,0.000131
1919,0.000003,0.000143
1920,0.000003,0.000148
1921,0.000003,0.000141
1922,0.000000,0.000135
1923,0.000003,0.000136
1924,0.000004,0.000123
1925,0.000000,0.000141
1926,0.000003,0.000137
1927,0.000003,0.000152
1928,0.000002,0.000147
1929,0.000000,0.000137
1930,0.000000,0.000150
1931,0.000000,0.000167
1932,0.000002,0.000145
1933,0.000003,0.000154
1934,0.000000,0.000146
1935,0.000000,0.000138
1936,0.000000,0.000147
1937,0.000002,0.000121
1938,0.000000,0.000119
1939,0.000003,0.000125
1940,0.000000,0.000098
1941,0.000000,0.000098
1942,0.000000,0.000080
1943,0.000000,0.000076
1944,0.000000,0.000062
1945,0.000000,0.000056
1946,0.000002,0.000057
1947,0.000000,0.000060
1948,0.000000,0.000049
1949,0.000000,0.000042
1950,0.000000,0.000042
1951,0.000000,0.000043
1952,0.000000,0.000037
1953,0.000001,0.000037
1954,0.000000,0.000039
1955,0.000001,0.000031
1956,0.000000,0.000030
1957,0.000002,0.000032
1958,0.000000,0.000022
1959,0.000000,0.000026
1960,0.000000,0.000026
1961,0.000000,0.000022
1962,0.000000,0.000023
1963,0.000000,0.000027
1964,0.000000,0.000020
1965,0.000000,0.000021
1966,0.000000,0.000019
1967,0.000000,0.000022
1968,0.000000,0.000021
1969,0.000000,0.000018
1970,0.000000,0.000022
1971,0.000000,0.000018
1972,0.000000,0.000017
1973,0.000000,0.000023
1974,0.000000,0.000017
1975,0.000000,0.000023
1976,0.000000,0.000016
1977,0.000000,0.000017
1978,0.000000,0.000017
1979,0.000000,0.000015
1980,0.000000,0.000013
1981,0.000000,0.000015
1982,0.000000,0.000009
1983,0.000000,0.000012
1984,0.000000,0.000008
1985,0.000000,0.000011
1986,0.000000,0.000010
1987,0.000000,0.000010
1988,0.000000,0.000008
1989,0.000000,0.000009
1990,0.000000,0.000011
1991,0.000000,0.000009
1992,0.000000,0.000008
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000007
1996,0.000000,0.000006
1997,0.000000,0.000008
1998,0.000000,0.000007
1999,0.000000,0.000007
2000,0.000000,0.000007
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000006
2004,0.000000,0.000007
2005,0.000000,0.000005
2006,0.000000,0.000004
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000000,0.000006
2011,0.000000,0.000007
2012,0.000000,0.000005
2013,0.000000,0.000009
