year,Deloras
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,0
1914,7
1915,7
1916,0
1917,9
1918,10
1919,7
1920,11
1921,24
1922,17
1923,22
1924,15
1925,15
1926,19
1927,21
1928,22
1929,33
1930,39
1931,37
1932,32
1933,27
1934,23
1935,26
1936,18
1937,27
1938,31
1939,17
1940,16
1941,26
1942,32
1943,19
1944,22
1945,14
1946,18
1947,20
1948,20
1949,18
1950,11
1951,21
1952,22
1953,19
1954,9
1955,8
1956,12
1957,15
1958,6
1959,8
1960,8
1961,12
1962,10
1963,0
1964,11
1965,8
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
