year,Deanna (F),Deanna (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000015,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000012,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000003,0.000000
1916,0.000003,0.000000
1917,0.000000,0.000000
1918,0.000002,0.000000
1919,0.000004,0.000000
1920,0.000002,0.000000
1921,0.000002,0.000000
1922,0.000007,0.000000
1923,0.000008,0.000000
1924,0.000008,0.000000
1925,0.000004,0.000000
1926,0.000007,0.000000
1927,0.000007,0.000000
1928,0.000004,0.000000
1929,0.000005,0.000000
1930,0.000003,0.000000
1931,0.000005,0.000000
1932,0.000003,0.000000
1933,0.000007,0.000000
1934,0.000007,0.000000
1935,0.000014,0.000000
1936,0.000037,0.000000
1937,0.000762,0.000003
1938,0.001019,0.000003
1939,0.000820,0.000003
1940,0.000782,0.000003
1941,0.000762,0.000003
1942,0.000530,0.000000
1943,0.000557,0.000000
1944,0.000485,0.000002
1945,0.000447,0.000000
1946,0.000399,0.000000
1947,0.000351,0.000000
1948,0.000308,0.000000
1949,0.000278,0.000000
1950,0.000254,0.000000
1951,0.000247,0.000000
1952,0.000216,0.000000
1953,0.000229,0.000000
1954,0.000247,0.000000
1955,0.000266,0.000000
1956,0.000294,0.000000
1957,0.000306,0.000000
1958,0.000334,0.000000
1959,0.000440,0.000000
1960,0.000552,0.000001
1961,0.000648,0.000000
1962,0.000759,0.000003
1963,0.000789,0.000003
1964,0.000920,0.000002
1965,0.000940,0.000000
1966,0.000949,0.000003
1967,0.000986,0.000002
1968,0.001010,0.000003
1969,0.001170,0.000002
1970,0.001200,0.000004
1971,0.001105,0.000006
1972,0.000967,0.000004
1973,0.000926,0.000004
1974,0.000842,0.000004
1975,0.000754,0.000003
1976,0.000697,0.000000
1977,0.000660,0.000000
1978,0.000640,0.000003
1979,0.000586,0.000000
1980,0.000542,0.000000
1981,0.000561,0.000000
1982,0.000540,0.000003
1983,0.000555,0.000002
1984,0.000549,0.000000
1985,0.000509,0.000001
1986,0.000468,0.000001
1987,0.000455,0.000002
1988,0.000471,0.000002
1989,0.000457,0.000002
1990,0.000469,0.000002
1991,0.000483,0.000000
1992,0.000514,0.000000
1993,0.000514,0.000002
1994,0.000504,0.000000
1995,0.000433,0.000000
1996,0.000382,0.000000
1997,0.000371,0.000000
1998,0.000339,0.000000
1999,0.000307,0.000000
2000,0.000278,0.000000
2001,0.000225,0.000000
2002,0.000229,0.000000
2003,0.000188,0.000000
2004,0.000177,0.000001
2005,0.000166,0.000000
2006,0.000144,0.000000
2007,0.000139,0.000000
2008,0.000134,0.000000
2009,0.000131,0.000000
2010,0.000107,0.000000
2011,0.000089,0.000000
2012,0.000076,0.000000
