year,Dasie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,9
1910,10
1911,7
1912,6
1913,7
1914,8
1915,14
1916,11
1917,11
1918,6
1919,13
1920,11
1921,9
1922,9
1923,16
1924,18
1925,19
1926,12
1927,12
1928,8
1929,8
1930,7
1931,10
1932,13
1933,5
1934,12
1935,6
1936,9
1937,9
1938,7
1939,6
1940,5
1941,7
1942,7
1943,12
1944,10
1945,7
1946,0
1947,6
1948,6
1949,9
1950,10
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,6
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
