year,Dorla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,6
1924,6
1925,0
1926,0
1927,6
1928,12
1929,108
1930,171
1931,84
1932,69
1933,54
1934,58
1935,39
1936,52
1937,28
1938,20
1939,15
1940,23
1941,16
1942,13
1943,17
1944,14
1945,7
1946,0
1947,11
1948,16
1949,12
1950,15
1951,12
1952,13
1953,19
1954,6
1955,9
1956,11
1957,19
1958,16
1959,13
1960,14
1961,14
1962,13
1963,15
1964,0
1965,8
1966,9
1967,9
1968,6
1969,6
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
