year,Donnie (F),Donnie (M)
1880,0.000099,0.000000
1881,0.000073,0.000000
1882,0.000081,0.000023
1883,0.000078,0.000000
1884,0.000045,0.000000
1885,0.000087,0.000000
1886,0.000055,0.000000
1887,0.000065,0.000028
1888,0.000080,0.000000
1889,0.000083,0.000021
1890,0.000116,0.000000
1891,0.000066,0.000000
1892,0.000111,0.000021
1893,0.000071,0.000015
1894,0.000080,0.000021
1895,0.000117,0.000017
1896,0.000067,0.000031
1897,0.000115,0.000017
1898,0.000084,0.000000
1899,0.000091,0.000024
1900,0.000120,0.000016
1901,0.000116,0.000020
1902,0.000075,0.000000
1903,0.000094,0.000024
1904,0.000089,0.000020
1905,0.000104,0.000021
1906,0.000051,0.000012
1907,0.000080,0.000013
1908,0.000098,0.000020
1909,0.000076,0.000018
1910,0.000083,0.000019
1911,0.000073,0.000016
1912,0.000059,0.000016
1913,0.000054,0.000027
1914,0.000054,0.000018
1915,0.000050,0.000023
1916,0.000035,0.000018
1917,0.000048,0.000020
1918,0.000044,0.000015
1919,0.000040,0.000027
1920,0.000041,0.000019
1921,0.000039,0.000014
1922,0.000042,0.000024
1923,0.000045,0.000022
1924,0.000047,0.000022
1925,0.000046,0.000028
1926,0.000050,0.000029
1927,0.000040,0.000039
1928,0.000040,0.000054
1929,0.000047,0.000065
1930,0.000048,0.000079
1931,0.000054,0.000113
1932,0.000051,0.000144
1933,0.000052,0.000163
1934,0.000056,0.000194
1935,0.000060,0.000203
1936,0.000069,0.000243
1937,0.000071,0.000291
1938,0.000058,0.000269
1939,0.000053,0.000290
1940,0.000050,0.000293
1941,0.000061,0.000323
1942,0.000047,0.000306
1943,0.000055,0.000326
1944,0.000048,0.000365
1945,0.000044,0.000374
1946,0.000041,0.000399
1947,0.000034,0.000394
1948,0.000040,0.000429
1949,0.000035,0.000465
1950,0.000027,0.000492
1951,0.000028,0.000470
1952,0.000028,0.000476
1953,0.000029,0.000464
1954,0.000026,0.000445
1955,0.000023,0.000416
1956,0.000024,0.000418
1957,0.000019,0.000408
1958,0.000023,0.000387
1959,0.000017,0.000393
1960,0.000018,0.000378
1961,0.000022,0.000332
1962,0.000015,0.000323
1963,0.000014,0.000292
1964,0.000013,0.000285
1965,0.000011,0.000268
1966,0.000016,0.000250
1967,0.000013,0.000247
1968,0.000009,0.000259
1969,0.000011,0.000239
1970,0.000012,0.000253
1971,0.000008,0.000260
1972,0.000009,0.000274
1973,0.000013,0.000261
1974,0.000009,0.000250
1975,0.000009,0.000244
1976,0.000008,0.000232
1977,0.000008,0.000202
1978,0.000004,0.000187
1979,0.000005,0.000174
1980,0.000005,0.000160
1981,0.000006,0.000138
1982,0.000005,0.000125
1983,0.000003,0.000123
1984,0.000002,0.000109
1985,0.000004,0.000095
1986,0.000002,0.000088
1987,0.000003,0.000091
1988,0.000002,0.000080
1989,0.000002,0.000071
1990,0.000002,0.000086
1991,0.000001,0.000069
1992,0.000002,0.000067
1993,0.000003,0.000064
1994,0.000003,0.000053
1995,0.000003,0.000049
1996,0.000002,0.000049
1997,0.000000,0.000050
1998,0.000002,0.000050
1999,0.000002,0.000045
2000,0.000000,0.000042
2001,0.000001,0.000038
2002,0.000000,0.000038
2003,0.000000,0.000040
2004,0.000002,0.000034
2005,0.000000,0.000034
2006,0.000002,0.000034
2007,0.000000,0.000036
2008,0.000000,0.000034
2009,0.000000,0.000032
2010,0.000000,0.000035
2011,0.000001,0.000028
2012,0.000000,0.000032
2013,0.000000,0.000030
2014,0.000001,0.000034
2015,0.000000,0.000032
2016,0.000000,0.000031
2017,0.000001,0.000028
2018,0.000000,0.000022
2019,0.000000,0.000023
2020,0.000000,0.000025
