year,Dotty
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,6
1912,6
1913,6
1914,9
1915,18
1916,11
1917,10
1918,20
1919,7
1920,10
1921,10
1922,12
1923,8
1924,19
1925,21
1926,22
1927,24
1928,32
1929,33
1930,34
1931,29
1932,30
1933,33
1934,33
1935,38
1936,26
1937,30
1938,23
1939,51
1940,47
1941,47
1942,43
1943,52
1944,47
1945,53
1946,53
1947,41
1948,46
1949,24
1950,30
1951,30
1952,30
1953,30
1954,36
1955,30
1956,42
1957,31
1958,36
1959,42
1960,43
1961,33
1962,28
1963,19
1964,17
1965,17
1966,15
1967,8
1968,11
1969,8
1970,9
1971,5
1972,0
1973,0
1974,7
1975,5
1976,0
1977,0
1978,5
1979,10
1980,0
1981,7
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
