year,Denice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,7
1926,6
1927,6
1928,5
1929,9
1930,6
1931,6
1932,6
1933,5
1934,9
1935,11
1936,6
1937,17
1938,18
1939,9
1940,13
1941,19
1942,24
1943,31
1944,29
1945,31
1946,54
1947,76
1948,83
1949,86
1950,144
1951,247
1952,363
1953,363
1954,442
1955,415
1956,422
1957,451
1958,440
1959,372
1960,375
1961,334
1962,316
1963,326
1964,355
1965,263
1966,265
1967,283
1968,281
1969,307
1970,257
1971,238
1972,207
1973,204
1974,177
1975,128
1976,81
1977,120
1978,104
1979,85
1980,82
1981,90
1982,75
1983,88
1984,71
1985,75
1986,74
1987,88
1988,52
1989,78
1990,57
1991,70
1992,63
1993,46
1994,52
1995,35
1996,59
1997,33
1998,44
1999,42
2000,44
2001,48
2002,42
2003,38
2004,25
2005,33
2006,30
2007,25
2008,21
2009,25
2010,21
2011,13
2012,5
