year,Dyan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,10
1945,0
1946,12
1947,11
1948,15
1949,18
1950,19
1951,23
1952,31
1953,25
1954,15
1955,26
1956,20
1957,23
1958,21
1959,20
1960,14
1961,7
1962,12
1963,16
1964,24
1965,38
1966,82
1967,74
1968,98
1969,53
1970,128
1971,105
1972,80
1973,57
1974,62
1975,78
1976,51
1977,30
1978,36
1979,29
1980,28
1981,48
1982,59
1983,51
1984,45
1985,25
1986,19
1987,18
1988,18
1989,19
1990,11
1991,10
1992,13
1993,15
1994,11
1995,7
1996,0
1997,12
1998,8
1999,5
2000,0
2001,5
2002,12
2003,6
2004,5
2005,5
2006,8
2007,8
2008,5
2009,6
2010,5
2011,5
2012,0
