year,Donette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,7
1938,0
1939,7
1940,5
1941,6
1942,7
1943,14
1944,9
1945,12
1946,8
1947,28
1948,19
1949,12
1950,22
1951,16
1952,24
1953,29
1954,17
1955,35
1956,35
1957,37
1958,32
1959,34
1960,40
1961,41
1962,53
1963,39
1964,47
1965,31
1966,42
1967,42
1968,35
1969,31
1970,38
1971,44
1972,21
1973,17
1974,19
1975,24
1976,21
1977,21
1978,10
1979,8
1980,11
1981,10
1982,11
1983,0
1984,0
1985,0
1986,10
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
