year,Dan (F),Dan (M)
1880,0.000000,0.000695
1881,0.000000,0.000768
1882,0.000000,0.000677
1883,0.000000,0.000553
1884,0.000000,0.000620
1885,0.000000,0.000536
1886,0.000000,0.000603
1887,0.000000,0.000566
1888,0.000000,0.000514
1889,0.000000,0.000401
1890,0.000000,0.000531
1891,0.000000,0.000394
1892,0.000000,0.000467
1893,0.000000,0.000440
1894,0.000000,0.000337
1895,0.000000,0.000273
1896,0.000000,0.000372
1897,0.000000,0.000331
1898,0.000000,0.000328
1899,0.000000,0.000351
1900,0.000000,0.000426
1901,0.000000,0.000338
1902,0.000000,0.000321
1903,0.000000,0.000407
1904,0.000000,0.000387
1905,0.000000,0.000359
1906,0.000012,0.000299
1907,0.000000,0.000344
1908,0.000000,0.000311
1909,0.000000,0.000319
1910,0.000000,0.000318
1911,0.000000,0.000318
1912,0.000000,0.000302
1913,0.000004,0.000329
1914,0.000000,0.000316
1915,0.000000,0.000315
1916,0.000004,0.000307
1917,0.000002,0.000296
1918,0.000004,0.000327
1919,0.000006,0.000354
1920,0.000003,0.000338
1921,0.000005,0.000307
1922,0.000003,0.000352
1923,0.000003,0.000317
1924,0.000005,0.000336
1925,0.000004,0.000331
1926,0.000006,0.000383
1927,0.000006,0.000398
1928,0.000008,0.000402
1929,0.000004,0.000364
1930,0.000004,0.000404
1931,0.000005,0.000420
1932,0.000004,0.000437
1933,0.000004,0.000469
1934,0.000004,0.000452
1935,0.000004,0.000486
1936,0.000005,0.000464
1937,0.000004,0.000485
1938,0.000003,0.000470
1939,0.000000,0.000452
1940,0.000003,0.000476
1941,0.000000,0.000474
1942,0.000000,0.000492
1943,0.000000,0.000545
1944,0.000002,0.000553
1945,0.000002,0.000651
1946,0.000003,0.000687
1947,0.000002,0.000750
1948,0.000002,0.000722
1949,0.000003,0.000655
1950,0.000003,0.000595
1951,0.000002,0.000541
1952,0.000000,0.000608
1953,0.000002,0.000562
1954,0.000002,0.000541
1955,0.000002,0.000574
1956,0.000001,0.000592
1957,0.000002,0.000760
1958,0.000002,0.000895
1959,0.000002,0.000884
1960,0.000000,0.000890
1961,0.000001,0.000825
1962,0.000001,0.000772
1963,0.000000,0.000714
1964,0.000002,0.000609
1965,0.000002,0.000550
1966,0.000000,0.000443
1967,0.000001,0.000391
1968,0.000003,0.000376
1969,0.000002,0.000334
1970,0.000002,0.000283
1971,0.000002,0.000263
1972,0.000002,0.000215
1973,0.000002,0.000190
1974,0.000002,0.000158
1975,0.000002,0.000148
1976,0.000000,0.000132
1977,0.000000,0.000119
1978,0.000003,0.000108
1979,0.000002,0.000099
1980,0.000002,0.000097
1981,0.000003,0.000105
1982,0.000002,0.000090
1983,0.000002,0.000081
1984,0.000000,0.000076
1985,0.000002,0.000074
1986,0.000002,0.000075
1987,0.000000,0.000064
1988,0.000003,0.000068
1989,0.000002,0.000062
1990,0.000000,0.000059
1991,0.000000,0.000059
1992,0.000002,0.000055
1993,0.000000,0.000055
1994,0.000000,0.000048
1995,0.000000,0.000047
1996,0.000000,0.000048
1997,0.000000,0.000046
1998,0.000000,0.000041
1999,0.000000,0.000038
2000,0.000000,0.000043
2001,0.000002,0.000038
2002,0.000000,0.000041
2003,0.000001,0.000038
2004,0.000002,0.000035
2005,0.000000,0.000041
2006,0.000000,0.000034
2007,0.000000,0.000037
2008,0.000000,0.000034
2009,0.000000,0.000030
2010,0.000000,0.000031
2011,0.000000,0.000030
2012,0.000000,0.000029
2013,0.000000,0.000024
2014,0.000000,0.000027
2015,0.000000,0.000024
2016,0.000000,0.000027
2017,0.000000,0.000027
2018,0.000000,0.000028
2019,0.000000,0.000030
2020,0.000002,0.000025
