year,Dorcas
1880,11
1881,6
1882,12
1883,8
1884,14
1885,7
1886,9
1887,11
1888,15
1889,11
1890,15
1891,6
1892,11
1893,20
1894,16
1895,19
1896,14
1897,19
1898,16
1899,9
1900,15
1901,15
1902,22
1903,23
1904,16
1905,24
1906,24
1907,31
1908,27
1909,29
1910,34
1911,44
1912,45
1913,56
1914,79
1915,86
1916,114
1917,101
1918,106
1919,106
1920,126
1921,140
1922,125
1923,142
1924,108
1925,130
1926,126
1927,111
1928,87
1929,116
1930,75
1931,98
1932,113
1933,94
1934,104
1935,81
1936,63
1937,78
1938,101
1939,79
1940,86
1941,63
1942,83
1943,70
1944,69
1945,65
1946,88
1947,73
1948,83
1949,70
1950,71
1951,75
1952,78
1953,70
1954,82
1955,107
1956,78
1957,87
1958,74
1959,74
1960,95
1961,80
1962,88
1963,77
1964,87
1965,66
1966,60
1967,51
1968,48
1969,57
1970,44
1971,37
1972,44
1973,37
1974,41
1975,37
1976,41
1977,44
1978,49
1979,45
1980,44
1981,39
1982,37
1983,32
1984,26
1985,45
1986,33
1987,26
1988,26
1989,26
1990,31
1991,34
1992,25
1993,30
1994,33
1995,24
1996,27
1997,23
1998,21
1999,24
2000,25
2001,18
2002,21
2003,22
2004,19
2005,26
2006,17
2007,20
2008,23
2009,21
2010,21
2011,26
2012,22
