year,Dorthea
1880,0
1881,0
1882,5
1883,0
1884,11
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,0
1897,7
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,7
1907,10
1908,14
1909,12
1910,11
1911,10
1912,14
1913,23
1914,29
1915,36
1916,33
1917,38
1918,48
1919,44
1920,50
1921,69
1922,49
1923,49
1924,64
1925,39
1926,47
1927,49
1928,37
1929,32
1930,36
1931,22
1932,36
1933,21
1934,28
1935,25
1936,19
1937,34
1938,18
1939,23
1940,11
1941,23
1942,23
1943,17
1944,19
1945,20
1946,23
1947,11
1948,20
1949,17
1950,40
1951,30
1952,26
1953,24
1954,42
1955,33
1956,42
1957,33
1958,37
1959,42
1960,38
1961,22
1962,41
1963,33
1964,32
1965,29
1966,49
1967,28
1968,34
1969,23
1970,31
1971,18
1972,20
1973,20
1974,17
1975,12
1976,14
1977,24
1978,11
1979,12
1980,12
1981,13
1982,23
1983,16
1984,18
1985,12
1986,12
1987,10
1988,12
1989,12
1990,14
1991,20
1992,16
1993,10
1994,7
1995,6
1996,10
1997,7
1998,0
1999,0
2000,0
2001,0
2002,7
2003,5
2004,0
2005,6
2006,0
2007,0
2008,7
2009,5
2010,0
2011,0
2012,0
