year,Doreatha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,10
1912,10
1913,6
1914,8
1915,15
1916,9
1917,13
1918,20
1919,16
1920,17
1921,20
1922,19
1923,23
1924,32
1925,33
1926,30
1927,18
1928,36
1929,25
1930,27
1931,21
1932,21
1933,21
1934,26
1935,23
1936,22
1937,21
1938,24
1939,26
1940,25
1941,15
1942,19
1943,17
1944,21
1945,16
1946,28
1947,24
1948,22
1949,16
1950,21
1951,25
1952,19
1953,29
1954,22
1955,23
1956,20
1957,24
1958,25
1959,13
1960,28
1961,16
1962,25
1963,20
1964,16
1965,14
1966,17
1967,13
1968,7
1969,7
1970,6
1971,7
1972,9
1973,0
1974,8
1975,0
1976,0
1977,5
1978,0
1979,0
1980,7
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
