year,Dorina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,7
1921,6
1922,0
1923,9
1924,0
1925,9
1926,0
1927,5
1928,9
1929,5
1930,8
1931,7
1932,8
1933,0
1934,7
1935,0
1936,8
1937,5
1938,0
1939,6
1940,0
1941,6
1942,5
1943,7
1944,9
1945,17
1946,6
1947,7
1948,10
1949,10
1950,9
1951,13
1952,9
1953,15
1954,14
1955,11
1956,11
1957,17
1958,15
1959,15
1960,21
1961,20
1962,17
1963,12
1964,24
1965,22
1966,22
1967,21
1968,26
1969,42
1970,28
1971,23
1972,19
1973,11
1974,18
1975,16
1976,14
1977,17
1978,13
1979,11
1980,16
1981,12
1982,18
1983,9
1984,9
1985,10
1986,11
1987,8
1988,9
1989,5
1990,0
1991,8
1992,7
1993,0
1994,11
1995,0
1996,11
1997,5
1998,5
1999,6
2000,5
2001,7
2002,5
2003,0
2004,9
2005,7
2006,9
2007,11
2008,0
2009,0
2010,8
2011,0
2012,0
