year,Delana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,5
1917,0
1918,7
1919,8
1920,8
1921,0
1922,10
1923,5
1924,0
1925,6
1926,0
1927,6
1928,0
1929,0
1930,0
1931,0
1932,5
1933,14
1934,11
1935,5
1936,8
1937,7
1938,8
1939,6
1940,14
1941,15
1942,10
1943,14
1944,11
1945,13
1946,21
1947,24
1948,19
1949,22
1950,24
1951,35
1952,28
1953,26
1954,37
1955,29
1956,45
1957,43
1958,75
1959,54
1960,64
1961,60
1962,74
1963,87
1964,75
1965,79
1966,61
1967,70
1968,83
1969,98
1970,92
1971,83
1972,72
1973,60
1974,74
1975,61
1976,58
1977,69
1978,57
1979,57
1980,75
1981,55
1982,58
1983,51
1984,61
1985,43
1986,49
1987,53
1988,38
1989,39
1990,41
1991,45
1992,54
1993,43
1994,46
1995,42
1996,50
1997,47
1998,51
1999,50
2000,50
2001,58
2002,55
2003,50
2004,72
2005,67
2006,68
2007,81
2008,47
2009,48
2010,39
2011,45
2012,32
