year,Darleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,7
1916,16
1917,17
1918,30
1919,17
1920,28
1921,38
1922,65
1923,59
1924,71
1925,102
1926,91
1927,125
1928,120
1929,112
1930,123
1931,108
1932,109
1933,110
1934,96
1935,99
1936,112
1937,119
1938,155
1939,150
1940,135
1941,177
1942,166
1943,227
1944,158
1945,169
1946,209
1947,208
1948,193
1949,200
1950,171
1951,162
1952,140
1953,145
1954,122
1955,151
1956,167
1957,193
1958,231
1959,185
1960,152
1961,185
1962,158
1963,132
1964,146
1965,132
1966,120
1967,113
1968,85
1969,95
1970,76
1971,76
1972,54
1973,56
1974,53
1975,39
1976,32
1977,41
1978,30
1979,47
1980,19
1981,30
1982,33
1983,15
1984,23
1985,24
1986,18
1987,23
1988,23
1989,18
1990,23
1991,16
1992,22
1993,15
1994,24
1995,23
1996,13
1997,16
1998,14
1999,10
2000,25
2001,19
2002,19
2003,18
2004,17
2005,29
2006,21
2007,21
2008,26
2009,24
2010,25
2011,25
2012,28
