year,Derreck
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,0
1957,7
1958,7
1959,9
1960,7
1961,9
1962,10
1963,13
1964,13
1965,18
1966,18
1967,20
1968,14
1969,20
1970,32
1971,27
1972,20
1973,24
1974,21
1975,27
1976,13
1977,24
1978,28
1979,30
1980,26
1981,34
1982,35
1983,45
1984,35
1985,45
1986,34
1987,42
1988,36
1989,39
1990,48
1991,34
1992,37
1993,39
1994,44
1995,22
1996,29
1997,19
1998,13
1999,20
2000,21
2001,19
2002,22
2003,9
2004,19
2005,15
2006,12
2007,15
2008,17
2009,11
2010,19
2011,16
2012,10
