year,Denisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,18
1954,9
1955,19
1956,18
1957,16
1958,19
1959,23
1960,26
1961,28
1962,29
1963,31
1964,37
1965,26
1966,18
1967,21
1968,28
1969,26
1970,30
1971,23
1972,18
1973,22
1974,8
1975,27
1976,27
1977,18
1978,16
1979,9
1980,11
1981,16
1982,10
1983,11
1984,7
1985,8
1986,7
1987,13
1988,12
1989,26
1990,18
1991,13
1992,11
1993,13
1994,11
1995,8
1996,10
1997,8
1998,12
1999,10
2000,12
2001,17
2002,11
2003,13
2004,8
2005,18
2006,12
2007,11
2008,8
2009,7
2010,0
2011,5
2012,0
