year,Docia
1880,25
1881,14
1882,11
1883,11
1884,24
1885,17
1886,15
1887,22
1888,28
1889,21
1890,33
1891,21
1892,26
1893,19
1894,19
1895,14
1896,18
1897,16
1898,21
1899,9
1900,22
1901,20
1902,18
1903,16
1904,12
1905,12
1906,7
1907,6
1908,8
1909,11
1910,11
1911,12
1912,10
1913,12
1914,18
1915,19
1916,23
1917,25
1918,13
1919,15
1920,18
1921,28
1922,15
1923,19
1924,21
1925,19
1926,21
1927,13
1928,11
1929,11
1930,8
1931,10
1932,10
1933,8
1934,8
1935,10
1936,7
1937,6
1938,9
1939,8
1940,9
1941,8
1942,13
1943,7
1944,5
1945,0
1946,10
1947,12
1948,8
1949,0
1950,10
1951,0
1952,7
1953,11
1954,7
1955,0
1956,0
1957,6
1958,7
1959,0
1960,6
1961,0
1962,7
1963,0
1964,0
1965,5
1966,6
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,6
1974,0
1975,5
1976,0
1977,5
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
