year,Devonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,0
1931,6
1932,0
1933,0
1934,6
1935,6
1936,5
1937,0
1938,5
1939,12
1940,0
1941,6
1942,10
1943,8
1944,5
1945,8
1946,7
1947,5
1948,5
1949,20
1950,16
1951,12
1952,19
1953,14
1954,12
1955,22
1956,19
1957,20
1958,23
1959,21
1960,20
1961,19
1962,22
1963,29
1964,29
1965,29
1966,19
1967,23
1968,23
1969,45
1970,31
1971,42
1972,36
1973,37
1974,31
1975,19
1976,18
1977,25
1978,22
1979,25
1980,31
1981,29
1982,23
1983,22
1984,15
1985,19
1986,31
1987,38
1988,31
1989,40
1990,33
1991,40
1992,47
1993,52
1994,45
1995,41
1996,40
1997,28
1998,15
1999,31
2000,25
2001,27
2002,13
2003,9
2004,11
2005,8
2006,14
2007,15
2008,6
2009,11
2010,13
2011,11
2012,20
