year,Dutch
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,5
1929,6
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,9
1954,5
1955,0
1956,10
1957,6
1958,6
1959,10
1960,5
1961,5
1962,8
1963,11
1964,7
1965,7
1966,5
1967,8
1968,10
1969,11
1970,5
1971,8
1972,15
1973,9
1974,8
1975,9
1976,13
1977,7
1978,10
1979,11
1980,5
1981,9
1982,11
1983,7
1984,6
1985,11
1986,8
1987,11
1988,7
1989,13
1990,18
1991,11
1992,10
1993,10
1994,11
1995,15
1996,11
1997,9
1998,10
1999,17
2000,21
2001,15
2002,18
2003,21
2004,25
2005,28
2006,32
2007,30
2008,35
2009,30
2010,42
2011,45
2012,54
