year,Delphina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,8
1911,0
1912,5
1913,0
1914,10
1915,12
1916,8
1917,13
1918,14
1919,10
1920,12
1921,25
1922,18
1923,12
1924,12
1925,24
1926,13
1927,12
1928,12
1929,11
1930,8
1931,14
1932,12
1933,13
1934,10
1935,11
1936,6
1937,0
1938,7
1939,9
1940,11
1941,10
1942,12
1943,7
1944,6
1945,8
1946,8
1947,8
1948,9
1949,9
1950,10
1951,6
1952,7
1953,9
1954,15
1955,11
1956,10
1957,14
1958,9
1959,15
1960,10
1961,17
1962,13
1963,14
1964,11
1965,12
1966,7
1967,11
1968,7
1969,10
1970,14
1971,8
1972,9
1973,6
1974,7
1975,10
1976,11
1977,7
1978,9
1979,6
1980,7
1981,5
1982,0
1983,5
1984,6
1985,6
1986,5
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,6
1999,0
2000,6
2001,6
2002,5
2003,0
2004,0
2005,0
2006,0
2007,6
2008,6
2009,9
2010,0
2011,0
2012,0
