year,Dwane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,5
1917,7
1918,0
1919,11
1920,9
1921,21
1922,15
1923,26
1924,24
1925,18
1926,25
1927,24
1928,32
1929,33
1930,38
1931,36
1932,33
1933,39
1934,40
1935,51
1936,33
1937,47
1938,36
1939,27
1940,37
1941,32
1942,34
1943,31
1944,25
1945,34
1946,44
1947,42
1948,42
1949,35
1950,29
1951,44
1952,47
1953,49
1954,57
1955,54
1956,57
1957,63
1958,79
1959,72
1960,79
1961,78
1962,70
1963,102
1964,83
1965,68
1966,67
1967,51
1968,54
1969,68
1970,66
1971,43
1972,46
1973,42
1974,35
1975,38
1976,47
1977,50
1978,48
1979,39
1980,36
1981,21
1982,28
1983,36
1984,24
1985,16
1986,15
1987,13
1988,22
1989,14
1990,11
1991,20
1992,18
1993,11
1994,17
1995,6
1996,10
1997,9
1998,6
1999,10
2000,10
2001,10
2002,6
2003,0
2004,9
2005,10
2006,7
2007,12
2008,12
2009,10
2010,0
2011,0
2012,9
