year,Dagoberto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,5
1952,0
1953,5
1954,16
1955,17
1956,21
1957,11
1958,23
1959,26
1960,35
1961,17
1962,21
1963,13
1964,24
1965,19
1966,12
1967,11
1968,19
1969,15
1970,16
1971,19
1972,16
1973,19
1974,18
1975,16
1976,30
1977,19
1978,20
1979,22
1980,23
1981,42
1982,29
1983,32
1984,25
1985,29
1986,39
1987,27
1988,24
1989,26
1990,38
1991,48
1992,46
1993,49
1994,42
1995,47
1996,49
1997,28
1998,30
1999,32
2000,32
2001,35
2002,26
2003,34
2004,25
2005,41
2006,32
2007,26
2008,22
2009,27
2010,24
2011,20
2012,18
