year,Dixie (F),Dixie (M)
1880,0.000074,0.000000
1881,0.000052,0.000000
1882,0.000090,0.000000
1883,0.000074,0.000000
1884,0.000111,0.000000
1885,0.000100,0.000000
1886,0.000086,0.000027
1887,0.000117,0.000020
1888,0.000127,0.000000
1889,0.000135,0.000021
1890,0.000136,0.000000
1891,0.000101,0.000000
1892,0.000108,0.000000
1893,0.000095,0.000000
1894,0.000112,0.000000
1895,0.000091,0.000000
1896,0.000112,0.000017
1897,0.000098,0.000000
1898,0.000126,0.000018
1899,0.000133,0.000000
1900,0.000120,0.000000
1901,0.000093,0.000000
1902,0.000124,0.000000
1903,0.000150,0.000000
1904,0.000124,0.000012
1905,0.000125,0.000000
1906,0.000163,0.000014
1907,0.000144,0.000000
1908,0.000151,0.000000
1909,0.000170,0.000014
1910,0.000146,0.000000
1911,0.000143,0.000000
1912,0.000131,0.000008
1913,0.000136,0.000008
1914,0.000116,0.000006
1915,0.000112,0.000008
1916,0.000121,0.000005
1917,0.000127,0.000006
1918,0.000161,0.000010
1919,0.000145,0.000011
1920,0.000144,0.000009
1921,0.000138,0.000005
1922,0.000134,0.000012
1923,0.000143,0.000005
1924,0.000163,0.000005
1925,0.000146,0.000007
1926,0.000161,0.000007
1927,0.000160,0.000009
1928,0.000171,0.000008
1929,0.000163,0.000007
1930,0.000230,0.000009
1931,0.000293,0.000006
1932,0.000298,0.000009
1933,0.000323,0.000006
1934,0.000401,0.000009
1935,0.000445,0.000010
1936,0.000531,0.000006
1937,0.000545,0.000006
1938,0.000555,0.000008
1939,0.000533,0.000006
1940,0.000508,0.000007
1941,0.000430,0.000006
1942,0.000388,0.000008
1943,0.000370,0.000008
1944,0.000351,0.000006
1945,0.000333,0.000004
1946,0.000309,0.000004
1947,0.000295,0.000002
1948,0.000251,0.000004
1949,0.000244,0.000003
1950,0.000196,0.000001
1951,0.000204,0.000003
1952,0.000203,0.000002
1953,0.000244,0.000004
1954,0.000188,0.000002
1955,0.000162,0.000000
1956,0.000152,0.000002
1957,0.000145,0.000002
1958,0.000120,0.000001
1959,0.000118,0.000001
1960,0.000110,0.000001
1961,0.000092,0.000000
1962,0.000089,0.000001
1963,0.000088,0.000002
1964,0.000083,0.000000
1965,0.000057,0.000000
1966,0.000063,0.000000
1967,0.000047,0.000000
1968,0.000046,0.000001
1969,0.000052,0.000000
1970,0.000044,0.000000
1971,0.000045,0.000000
1972,0.000060,0.000000
1973,0.000062,0.000002
1974,0.000060,0.000000
1975,0.000067,0.000000
1976,0.000057,0.000000
1977,0.000059,0.000002
1978,0.000044,0.000000
1979,0.000035,0.000002
1980,0.000050,0.000000
1981,0.000039,0.000002
1982,0.000036,0.000000
1983,0.000044,0.000000
1984,0.000032,0.000000
1985,0.000029,0.000000
1986,0.000021,0.000000
1987,0.000025,0.000000
1988,0.000021,0.000000
1989,0.000034,0.000000
1990,0.000027,0.000000
1991,0.000031,0.000000
1992,0.000026,0.000000
1993,0.000031,0.000000
1994,0.000026,0.000000
1995,0.000024,0.000000
1996,0.000030,0.000000
1997,0.000022,0.000000
1998,0.000022,0.000000
1999,0.000027,0.000000
2000,0.000030,0.000000
2001,0.000040,0.000000
2002,0.000033,0.000000
2003,0.000036,0.000000
2004,0.000030,0.000000
2005,0.000039,0.000000
2006,0.000037,0.000000
2007,0.000074,0.000000
2008,0.000071,0.000000
2009,0.000076,0.000000
2010,0.000076,0.000000
2011,0.000085,0.000000
2012,0.000086,0.000000
2013,0.000080,0.000000
2014,0.000093,0.000000
2015,0.000078,0.000000
2016,0.000070,0.000000
2017,0.000063,0.000000
2018,0.000073,0.000000
2019,0.000074,0.000000
2020,0.000069,0.000000
