year,Deedra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,11
1945,14
1946,9
1947,15
1948,12
1949,7
1950,16
1951,15
1952,20
1953,13
1954,16
1955,28
1956,15
1957,20
1958,18
1959,30
1960,47
1961,60
1962,57
1963,65
1964,72
1965,71
1966,78
1967,76
1968,55
1969,64
1970,91
1971,69
1972,59
1973,58
1974,66
1975,64
1976,49
1977,44
1978,40
1979,36
1980,51
1981,33
1982,48
1983,37
1984,33
1985,39
1986,34
1987,37
1988,37
1989,45
1990,35
1991,31
1992,25
1993,34
1994,18
1995,37
1996,15
1997,13
1998,10
1999,15
2000,12
2001,5
2002,14
2003,6
2004,5
2005,5
2006,0
2007,0
2008,6
2009,0
2010,5
2011,0
2012,0
