year,Dannette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,6
1938,5
1939,0
1940,5
1941,8
1942,13
1943,9
1944,6
1945,6
1946,15
1947,17
1948,11
1949,17
1950,23
1951,13
1952,21
1953,26
1954,25
1955,32
1956,53
1957,42
1958,62
1959,62
1960,79
1961,85
1962,72
1963,86
1964,77
1965,102
1966,91
1967,71
1968,81
1969,81
1970,79
1971,75
1972,68
1973,65
1974,49
1975,39
1976,49
1977,57
1978,25
1979,37
1980,31
1981,22
1982,20
1983,24
1984,31
1985,25
1986,23
1987,16
1988,9
1989,13
1990,8
1991,13
1992,12
1993,10
1994,7
1995,8
1996,6
1997,5
1998,5
1999,0
2000,0
2001,0
2002,6
2003,5
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
