year,Devra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,8
1945,0
1946,9
1947,11
1948,18
1949,22
1950,22
1951,19
1952,20
1953,17
1954,29
1955,34
1956,24
1957,22
1958,20
1959,16
1960,16
1961,15
1962,27
1963,24
1964,17
1965,23
1966,31
1967,32
1968,18
1969,21
1970,17
1971,14
1972,26
1973,10
1974,12
1975,11
1976,10
1977,12
1978,11
1979,9
1980,10
1981,15
1982,15
1983,10
1984,10
1985,6
1986,11
1987,6
1988,9
1989,8
1990,7
1991,6
1992,7
1993,0
1994,7
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
