year,Duaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,7
1920,11
1921,13
1922,10
1923,9
1924,15
1925,19
1926,17
1927,18
1928,20
1929,22
1930,20
1931,32
1932,35
1933,25
1934,30
1935,28
1936,24
1937,32
1938,19
1939,25
1940,15
1941,21
1942,17
1943,18
1944,12
1945,22
1946,20
1947,18
1948,21
1949,17
1950,16
1951,13
1952,19
1953,22
1954,24
1955,14
1956,19
1957,17
1958,16
1959,29
1960,14
1961,11
1962,20
1963,15
1964,14
1965,8
1966,12
1967,8
1968,12
1969,10
1970,13
1971,14
1972,11
1973,5
1974,7
1975,10
1976,7
1977,7
1978,14
1979,8
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
