year,Dwayne (F),Dwayne (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000007
1913,0.000000,0.000006
1914,0.000000,0.000011
1915,0.000000,0.000015
1916,0.000000,0.000010
1917,0.000000,0.000013
1918,0.000000,0.000015
1919,0.000000,0.000012
1920,0.000000,0.000017
1921,0.000000,0.000025
1922,0.000000,0.000026
1923,0.000000,0.000029
1924,0.000000,0.000039
1925,0.000000,0.000035
1926,0.000000,0.000036
1927,0.000000,0.000038
1928,0.000000,0.000046
1929,0.000000,0.000047
1930,0.000000,0.000061
1931,0.000003,0.000069
1932,0.000000,0.000077
1933,0.000000,0.000083
1934,0.000000,0.000095
1935,0.000000,0.000091
1936,0.000000,0.000103
1937,0.000000,0.000095
1938,0.000000,0.000085
1939,0.000000,0.000096
1940,0.000000,0.000100
1941,0.000000,0.000084
1942,0.000000,0.000072
1943,0.000000,0.000069
1944,0.000000,0.000099
1945,0.000000,0.000093
1946,0.000000,0.000095
1947,0.000000,0.000108
1948,0.000000,0.000100
1949,0.000000,0.000104
1950,0.000000,0.000098
1951,0.000000,0.000106
1952,0.000000,0.000106
1953,0.000001,0.000124
1954,0.000000,0.000135
1955,0.000000,0.000146
1956,0.000001,0.000194
1957,0.000002,0.000247
1958,0.000000,0.000340
1959,0.000003,0.000457
1960,0.000005,0.000733
1961,0.000005,0.000840
1962,0.000004,0.000772
1963,0.000003,0.000792
1964,0.000005,0.000738
1965,0.000004,0.000697
1966,0.000003,0.000651
1967,0.000004,0.000635
1968,0.000005,0.000617
1969,0.000006,0.000609
1970,0.000006,0.000641
1971,0.000004,0.000533
1972,0.000003,0.000506
1973,0.000004,0.000476
1974,0.000006,0.000395
1975,0.000004,0.000413
1976,0.000003,0.000437
1977,0.000004,0.000460
1978,0.000003,0.000390
1979,0.000005,0.000350
1980,0.000004,0.000310
1981,0.000002,0.000291
1982,0.000003,0.000275
1983,0.000003,0.000276
1984,0.000004,0.000247
1985,0.000002,0.000246
1986,0.000005,0.000232
1987,0.000003,0.000223
1988,0.000003,0.000224
1989,0.000002,0.000226
1990,0.000002,0.000209
1991,0.000002,0.000200
1992,0.000000,0.000176
1993,0.000000,0.000156
1994,0.000000,0.000150
1995,0.000000,0.000139
1996,0.000000,0.000129
1997,0.000000,0.000115
1998,0.000000,0.000114
1999,0.000000,0.000099
2000,0.000000,0.000107
2001,0.000000,0.000091
2002,0.000000,0.000086
2003,0.000000,0.000090
2004,0.000000,0.000077
2005,0.000000,0.000088
2006,0.000000,0.000098
2007,0.000000,0.000090
2008,0.000000,0.000088
2009,0.000000,0.000091
2010,0.000000,0.000094
2011,0.000000,0.000088
2012,0.000000,0.000086
